	index
109	TCGA-61-2101-01
110	TCGA-G3-AAV6-01
111	TCGA-DU-A7TA-01
112	TCGA-E2-A15P-01
113	TCGA-CN-4735-01
114	TCGA-DD-AADJ-01
115	TCGA-C8-A12P-01
116	TCGA-G4-6321-01
117	TCGA-BJ-A3PU-01
118	TCGA-FS-A1ZY-06
119	TCGA-63-A5MM-01
120	TCGA-91-6831-01
121	TCGA-CJ-4920-01
122	TCGA-AT-A5NU-01
123	TCGA-HU-A4H3-01
124	TCGA-25-2404-01
125	TCGA-29-1774-01
126	TCGA-QK-A64Z-01
127	TCGA-ED-A7XP-01
128	TCGA-49-4512-01
129	TCGA-A8-A06O-01
130	TCGA-AQ-A1H3-01
131	TCGA-61-2111-01
132	TCGA-EL-A3ZM-01
133	TCGA-EE-A2GM-06
134	TCGA-34-5236-01
135	TCGA-66-2800-01
136	TCGA-J8-A3YD-01
137	TCGA-2Y-A9H8-01
138	TCGA-L5-A4OI-01
139	TCGA-63-A5MS-01
140	TCGA-A8-A08S-01
141	TCGA-BQ-7062-01
142	TCGA-F4-6569-01
143	TCGA-AK-3436-01
144	TCGA-C8-A1HI-01
145	TCGA-IQ-A6SH-01
146	TCGA-94-7557-01
147	TCGA-B6-A0IN-01
148	TCGA-56-7580-01
149	TCGA-F9-A97G-01
150	TCGA-BR-A4PF-01
151	TCGA-C8-A8HR-01
152	TCGA-VS-A9U6-01
153	TCGA-E7-A678-01
154	TCGA-FD-A3B7-01
155	TCGA-EL-A3T6-01
156	TCGA-DU-8165-01
157	TCGA-ZF-A9R7-01
158	TCGA-DV-5565-01
159	TCGA-G3-A5SI-01
160	TCGA-CJ-6031-01
161	TCGA-92-8064-01
162	TCGA-CN-6019-01
163	TCGA-44-7671-01
164	TCGA-63-A5MR-01
165	TCGA-CV-A45U-01
166	TCGA-KB-A93G-01
167	TCGA-2Y-A9HA-01
168	TCGA-HT-7471-01
169	TCGA-B7-A5TI-01
170	TCGA-G2-A2EL-01
171	TCGA-W3-AA21-06
172	TCGA-DK-AA6S-01
173	TCGA-DZ-6134-01
174	TCGA-IA-A40Y-01
175	TCGA-44-6145-01
176	TCGA-ES-A2HS-01
177	TCGA-AC-A3YI-01
178	TCGA-B0-5115-01
179	TCGA-Z5-AAPL-01
180	TCGA-DJ-A2Q1-01
181	TCGA-B2-A4SR-01
182	TCGA-23-1111-01
183	TCGA-A5-A7WJ-01
184	TCGA-QB-A6FS-06
185	TCGA-A6-6654-01
186	TCGA-EE-A3AE-06
187	TCGA-G9-6353-01
188	TCGA-CN-A499-01
189	TCGA-D7-A6F2-01
190	TCGA-RC-A6M6-01
191	TCGA-78-7158-01
192	TCGA-R3-A69X-01
193	TCGA-G4-6294-01
194	TCGA-2J-AAB9-01
195	TCGA-UZ-A9PQ-01
196	TCGA-DW-5561-01
197	TCGA-BP-4164-01
198	TCGA-DQ-5630-01
199	TCGA-BQ-5878-01
200	TCGA-3A-A9IH-01
201	TCGA-B6-A0RL-01
202	TCGA-10-0926-01
203	TCGA-K7-AAU7-01
204	TCGA-BR-6707-01
205	TCGA-BH-A1F8-01
206	TCGA-ED-A8O5-01
207	TCGA-CQ-6221-01
208	TCGA-EI-6507-01
209	TCGA-TM-A84M-01
210	TCGA-24-1422-01
211	TCGA-CG-4462-01
212	TCGA-BH-A28Q-01
213	TCGA-56-A4BW-01
214	TCGA-HF-A5NB-01
215	TCGA-HU-8244-01
216	TCGA-A4-8630-01
217	TCGA-BJ-A0Z0-01
218	TCGA-55-A492-01
219	TCGA-CV-A45P-01
220	TCGA-IQ-A61O-01
221	TCGA-04-1357-01
222	TCGA-B9-A5W8-01
223	TCGA-QK-A8Z8-01
224	TCGA-VQ-A91Y-01
225	TCGA-IB-AAUM-01
226	TCGA-61-2110-01
227	TCGA-XF-A9SJ-01
228	TCGA-A8-A08L-01
229	TCGA-YL-A9WY-01
230	TCGA-PZ-A5RE-01
231	TCGA-D6-6517-01
232	TCGA-FS-A1ZJ-06
233	TCGA-85-8052-01
234	TCGA-EJ-A8FU-01
235	TCGA-G3-A3CJ-01
236	TCGA-QH-A6X3-01
237	TCGA-FY-A3R7-01
238	TCGA-GM-A4E0-01
239	TCGA-HC-7747-01
240	TCGA-G9-6338-01
241	TCGA-F5-6702-01
242	TCGA-G3-A7M9-01
243	TCGA-CS-5397-01
244	TCGA-B5-A1MS-01
245	TCGA-BR-8683-01
246	TCGA-CD-8535-01
247	TCGA-DB-5274-01
248	TCGA-29-2427-01
249	TCGA-BF-AAP0-06
250	TCGA-YL-A8HL-01
251	TCGA-BH-A0B5-01
252	TCGA-UF-A718-01
253	TCGA-AO-A0JA-01
254	TCGA-56-7822-01
255	TCGA-ET-A3DW-01
256	TCGA-CX-A4AQ-01
257	TCGA-ZF-A9R9-01
258	TCGA-A7-A5ZW-01
259	TCGA-WT-AB41-01
260	TCGA-S9-A7J1-01
261	TCGA-AG-3592-01
262	TCGA-HW-7489-01
263	TCGA-10-0933-01
264	TCGA-E7-A6ME-01
265	TCGA-ZG-A8QW-01
266	TCGA-MP-A4TH-01
267	TCGA-D8-A1JA-01
268	TCGA-E2-A1B0-01
269	TCGA-CS-6188-01
270	TCGA-CV-A6K0-01
271	TCGA-Y8-A895-01
272	TCGA-E2-A1IK-01
273	TCGA-AC-A23C-01
274	TCGA-HT-7607-01
275	TCGA-CV-6953-01
276	TCGA-L4-A4E6-01
277	TCGA-CH-5739-01
278	TCGA-AA-3511-01
279	TCGA-SL-A6J9-01
280	TCGA-F2-A44H-01
281	TCGA-LD-A7W5-01
282	TCGA-CD-A48A-01
283	TCGA-CN-4728-01
284	TCGA-61-1728-01
285	TCGA-DQ-7588-01
286	TCGA-ER-A3ET-06
287	TCGA-A2-A3XZ-01
288	TCGA-96-A4JL-01
289	TCGA-B1-A655-01
290	TCGA-FV-A3I1-01
291	TCGA-DJ-A3UX-01
292	TCGA-CV-6003-01
293	TCGA-A1-A0SB-01
294	TCGA-VQ-A8P2-01
295	TCGA-L5-A8NR-01
296	TCGA-55-8614-01
297	TCGA-EK-A2RN-01
298	TCGA-BL-A3JM-01
299	TCGA-13-1485-01
300	TCGA-R6-A6XG-01
301	TCGA-UZ-A9PV-01
302	TCGA-CN-6995-01
303	TCGA-85-A512-01
304	TCGA-50-5051-01
305	TCGA-18-3414-01
306	TCGA-ER-A42L-06
307	TCGA-77-7337-01
308	TCGA-GF-A3OT-06
309	TCGA-AC-A2QH-01
310	TCGA-UP-A6WW-01
311	TCGA-HM-A3JK-01
312	TCGA-66-2792-01
313	TCGA-XF-A9T6-01
314	TCGA-FD-A3B5-01
315	TCGA-XC-AA0X-01
316	TCGA-05-4422-01
317	TCGA-D7-6820-01
318	TCGA-QS-A5YQ-01
319	TCGA-V1-A9OQ-01
320	TCGA-A7-A4SB-01
321	TCGA-EM-A4FU-01
322	TCGA-AN-A0FL-01
323	TCGA-FG-7636-01
324	TCGA-RY-A83Z-01
325	TCGA-FE-A233-01
326	TCGA-PE-A5DC-01
327	TCGA-KK-A7AU-01
328	TCGA-A3-3323-01
329	TCGA-H7-A6C4-01
330	TCGA-B0-5099-01
331	TCGA-BP-5176-01
332	TCGA-PJ-A5Z9-01
333	TCGA-HZ-7924-01
334	TCGA-BP-5194-01
335	TCGA-FD-A3SJ-01
336	TCGA-CF-A3MH-01
337	TCGA-G6-A8L8-01
338	TCGA-IB-A5ST-01
339	TCGA-LN-A8I0-01
340	TCGA-BR-4292-01
341	TCGA-EB-A5UL-06
342	TCGA-S9-A7R8-01
343	TCGA-CN-A642-01
344	TCGA-XF-AAMT-01
345	TCGA-DK-A3IV-01
346	TCGA-B0-5702-01
347	TCGA-E2-A15L-01
348	TCGA-CA-5254-01
349	TCGA-HE-A5NK-01
350	TCGA-CC-A7IK-01
351	TCGA-BR-8484-01
352	TCGA-DD-AAD1-01
353	TCGA-ZF-AA56-01
354	TCGA-QH-A6X8-01
355	TCGA-TM-A84O-01
356	TCGA-43-A56V-01
357	TCGA-EI-7004-01
358	TCGA-E2-A14U-01
359	TCGA-GV-A3QF-01
360	TCGA-EI-6512-01
361	TCGA-BA-4075-01
362	TCGA-B6-A40C-01
363	TCGA-EJ-AB20-01
364	TCGA-E2-A1IE-01
365	TCGA-CV-7103-01
366	TCGA-75-6212-01
367	TCGA-06-1804-01
368	TCGA-HD-8635-01
369	TCGA-77-7141-01
370	TCGA-KK-A7AZ-01
371	TCGA-NC-A5HL-01
372	TCGA-D7-6817-01
373	TCGA-38-4631-01
374	TCGA-63-A5M9-01
375	TCGA-67-3773-01
376	TCGA-LL-A5YL-01
377	TCGA-DD-A3A2-01
378	TCGA-G9-6365-01
379	TCGA-D5-5540-01
380	TCGA-V1-A8WS-01
381	TCGA-CC-A3MA-01
382	TCGA-A6-2686-01
383	TCGA-D3-A8GR-06
384	TCGA-2Z-A9JM-01
385	TCGA-H7-8501-01
386	TCGA-VS-A8QM-01
387	TCGA-D3-A1Q1-06
388	TCGA-DJ-A13O-01
389	TCGA-35-4123-01
390	TCGA-39-5019-01
391	TCGA-BH-A0W7-01
392	TCGA-QD-A8IV-01
393	TCGA-B4-5378-01
394	TCGA-CR-7395-01
395	TCGA-49-6742-01
396	TCGA-DD-AACW-01
397	TCGA-BQ-5887-01
398	TCGA-D8-A3Z5-01
399	TCGA-A7-A26F-01
400	TCGA-CN-6012-01
401	TCGA-62-A46O-01
402	TCGA-CG-5723-01
403	TCGA-5P-A9K3-01
404	TCGA-56-7221-01
405	TCGA-CV-7424-01
406	TCGA-A2-A4RX-01
407	TCGA-D8-A1JM-01
408	TCGA-B8-4620-01
409	TCGA-A3-A8CQ-01
410	TCGA-AO-A1KR-01
411	TCGA-BB-A6UO-01
412	TCGA-HZ-8005-01
413	TCGA-37-3783-01
414	TCGA-CS-6186-01
415	TCGA-FG-6689-01
416	TCGA-A3-3358-01
417	TCGA-27-1835-01
418	TCGA-A6-6782-01
419	TCGA-VQ-A8P5-01
420	TCGA-MH-A854-01
421	TCGA-CA-6716-01
422	TCGA-QK-A6IH-01
423	TCGA-B5-A3F9-01
424	TCGA-KU-A66T-01
425	TCGA-QG-A5YW-01
426	TCGA-BT-A2LB-01
427	TCGA-HT-A614-01
428	TCGA-E2-A14X-01
429	TCGA-69-7978-01
430	TCGA-C5-A1BL-01
431	TCGA-CM-6678-01
432	TCGA-MX-A5UG-01
433	TCGA-D7-A4YV-01
434	TCGA-B8-5552-01
435	TCGA-BA-5559-01
436	TCGA-A3-3346-01
437	TCGA-GC-A3BM-01
438	TCGA-B1-7332-01
439	TCGA-24-1846-01
440	TCGA-CV-6939-01
441	TCGA-DU-7018-01
442	TCGA-BH-A1EY-01
443	TCGA-ED-A82E-01
444	TCGA-CM-6679-01
445	TCGA-56-A5DR-01
446	TCGA-44-5644-01
447	TCGA-CV-A45V-01
448	TCGA-EB-A5KH-06
449	TCGA-J2-A4AG-01
450	TCGA-39-5030-01
451	TCGA-B5-A0JR-01
452	TCGA-97-A4M5-01
453	TCGA-BR-6705-01
454	TCGA-EE-A2MK-06
455	TCGA-DJ-A3V4-01
456	TCGA-NK-A5CR-01
457	TCGA-E1-A7YQ-01
458	TCGA-FS-A4F8-06
459	TCGA-G9-6347-01
460	TCGA-85-8481-01
461	TCGA-AO-A03T-01
462	TCGA-ED-A7PX-01
463	TCGA-EE-A3JA-06
464	TCGA-2L-AAQI-01
465	TCGA-UF-A719-01
466	TCGA-A3-A6NJ-01
467	TCGA-LP-A4AU-01
468	TCGA-DD-AADG-01
469	TCGA-D8-A27W-01
470	TCGA-BT-A20T-01
471	TCGA-55-8302-01
472	TCGA-P5-A735-01
473	TCGA-ZS-A9CE-01
474	TCGA-BH-A1FL-01
475	TCGA-EM-A3OA-01
476	TCGA-KK-A59Z-01
477	TCGA-VS-A8QC-01
478	TCGA-J4-8198-01
479	TCGA-RD-A8N2-01
480	TCGA-HW-7491-01
481	TCGA-D3-A51T-06
482	TCGA-D5-6539-01
483	TCGA-BH-A18L-01
484	TCGA-G4-6298-01
485	TCGA-E8-A242-01
486	TCGA-E8-A44K-01
487	TCGA-EE-A29T-06
488	TCGA-DD-A73F-01
489	TCGA-EL-A3D4-01
490	TCGA-QH-A870-01
491	TCGA-M9-A5M8-01
492	TCGA-G2-A2EJ-01
493	TCGA-XN-A8T3-01
494	TCGA-62-A470-01
495	TCGA-HT-A74H-01
496	TCGA-HT-7688-01
497	TCGA-EE-A3JB-06
498	TCGA-AR-A2LL-01
499	TCGA-LN-A49K-01
500	TCGA-CJ-4912-01
501	TCGA-C5-A1MN-01
502	TCGA-ZP-A9CY-01
503	TCGA-IP-7968-01
504	TCGA-22-1012-01
505	TCGA-78-7159-01
506	TCGA-EM-A3FK-01
507	TCGA-22-5485-01
508	TCGA-A2-A0EP-01
509	TCGA-A2-A25D-01
510	TCGA-HF-7134-01
511	TCGA-B0-5121-01
512	TCGA-EE-A3JI-06
513	TCGA-E2-A107-01
514	TCGA-G3-AAV4-01
515	TCGA-EI-6510-01
516	TCGA-FG-A6J1-01
517	TCGA-AN-A0XN-01
518	TCGA-CS-6290-01
519	TCGA-CD-A4MI-01
520	TCGA-WL-A834-01
521	TCGA-HT-7467-01
522	TCGA-UZ-A9PK-01
523	TCGA-VV-A829-01
524	TCGA-Q1-A5R1-01
525	TCGA-44-4112-01
526	TCGA-B6-A0RU-01
527	TCGA-DC-5869-01
528	TCGA-DD-A4NA-01
529	TCGA-EY-A547-01
530	TCGA-EI-6917-01
531	TCGA-A3-3319-01
532	TCGA-R6-A6Y2-01
533	TCGA-A2-A0YG-01
534	TCGA-A2-A0CS-01
535	TCGA-34-5240-01
536	TCGA-BQ-5892-01
537	TCGA-37-4130-01
538	TCGA-29-1693-01
539	TCGA-EM-A2CJ-01
540	TCGA-2Z-A9JS-01
541	TCGA-NK-A5D1-01
542	TCGA-E9-A295-01
543	TCGA-OL-A5D6-01
544	TCGA-RD-A7BS-01
545	TCGA-FG-5965-01
546	TCGA-WY-A85B-01
547	TCGA-BR-6458-01
548	TCGA-CE-A485-01
549	TCGA-D8-A1Y1-01
550	TCGA-HD-7831-01
551	TCGA-EW-A2FR-01
552	TCGA-BR-8368-01
553	TCGA-02-2485-01
554	TCGA-BP-4964-01
555	TCGA-DD-A1EL-01
556	TCGA-G5-6235-01
557	TCGA-E9-A5FK-01
558	TCGA-BP-4972-01
559	TCGA-95-8494-01
560	TCGA-DA-A95W-06
561	TCGA-EO-A22X-01
562	TCGA-DQ-7593-01
563	TCGA-BJ-A0ZG-01
564	TCGA-G3-AAUZ-01
565	TCGA-4Z-AA7M-01
566	TCGA-E2-A15M-01
567	TCGA-DU-6401-01
568	TCGA-DU-A6S7-01
569	TCGA-ZS-A9CF-01
570	TCGA-A2-A0ES-01
571	TCGA-CV-6933-01
572	TCGA-24-1416-01
573	TCGA-RS-A6TP-01
574	TCGA-E7-A7PW-01
575	TCGA-VP-A87B-01
576	TCGA-EJ-A8FS-01
577	TCGA-DK-A2HX-01
578	TCGA-XD-AAUG-01
579	TCGA-FB-A78T-01
580	TCGA-EE-A3J4-06
581	TCGA-BH-A0E0-01
582	TCGA-XF-A8HB-01
583	TCGA-BH-A18J-01
584	TCGA-FY-A40L-01
585	TCGA-D3-A51J-06
586	TCGA-13-0885-01
587	TCGA-55-7281-01
588	TCGA-BR-8366-01
589	TCGA-34-5239-01
590	TCGA-BH-A0BJ-01
591	TCGA-CG-4476-01
592	TCGA-D3-A51G-06
593	TCGA-BH-A5IZ-01
594	TCGA-BA-4076-01
595	TCGA-RD-A7C1-01
596	TCGA-BP-4971-01
597	TCGA-L9-A443-01
598	TCGA-CV-7407-01
599	TCGA-EJ-7312-01
600	TCGA-A8-A0AB-01
601	TCGA-VP-A875-01
602	TCGA-98-A53J-01
603	TCGA-AX-A2H4-01
604	TCGA-BH-A0DT-01
605	TCGA-E9-A1RF-01
606	TCGA-CH-5790-01
607	TCGA-LG-A9QD-01
608	TCGA-DD-AADL-01
609	TCGA-J8-A3YE-01
610	TCGA-21-5782-01
611	TCGA-DU-7299-01
612	TCGA-HM-A3JJ-01
613	TCGA-H2-A26U-01
614	TCGA-DU-6404-01
615	TCGA-FR-A69P-06
616	TCGA-JY-A93C-01
617	TCGA-CN-4727-01
618	TCGA-BC-A3KF-01
619	TCGA-C5-A1BI-01
620	TCGA-RB-A7B8-01
621	TCGA-BH-A202-01
622	TCGA-37-3792-01
623	TCGA-BP-5169-01
624	TCGA-HC-8260-01
625	TCGA-A6-6138-01
626	TCGA-05-5429-01
627	TCGA-CD-8527-01
628	TCGA-EA-A97N-01
629	TCGA-IB-AAUN-01
630	TCGA-CG-4441-01
631	TCGA-58-A46K-01
632	TCGA-K7-A5RG-01
633	TCGA-DJ-A3UU-01
634	TCGA-XF-A8HC-01
635	TCGA-13-0720-01
636	TCGA-DJ-A3VL-01
637	TCGA-A8-A07I-01
638	TCGA-BP-4167-01
639	TCGA-L5-A4OX-01
640	TCGA-60-2707-01
641	TCGA-DS-A7WI-01
642	TCGA-2F-A9KW-01
643	TCGA-44-2665-01
644	TCGA-CN-5356-01
645	TCGA-BJ-A28S-01
646	TCGA-EL-A4K0-01
647	TCGA-DK-AA76-01
648	TCGA-E9-A22A-01
649	TCGA-D8-A1JK-01
650	TCGA-44-6779-01
651	TCGA-VS-A9UI-01
652	TCGA-R8-A6MK-01
653	TCGA-69-7973-01
654	TCGA-13-1497-01
655	TCGA-86-8673-01
656	TCGA-VQ-AA6D-01
657	TCGA-JY-A6FB-01
658	TCGA-97-A4M6-01
659	TCGA-W3-AA1Q-06
660	TCGA-DU-6405-01
661	TCGA-EE-A2ME-06
662	TCGA-P4-A5E6-01
663	TCGA-ET-A40T-01
664	TCGA-DD-A4NF-01
665	TCGA-58-8391-01
666	TCGA-SX-A7SP-01
667	TCGA-EJ-5526-01
668	TCGA-90-A59Q-01
669	TCGA-OY-A56Q-01
670	TCGA-76-4926-01
671	TCGA-US-A77J-01
672	TCGA-BR-8483-01
673	TCGA-BP-4960-01
674	TCGA-E2-A14Q-01
675	TCGA-HT-7602-01
676	TCGA-DJ-A1QG-01
677	TCGA-HC-A6AS-01
678	TCGA-A4-A7UZ-01
679	TCGA-ER-A1A1-06
680	TCGA-G9-6362-01
681	TCGA-E9-A227-01
682	TCGA-EY-A3L3-01
683	TCGA-HC-8259-01
684	TCGA-CF-A5U8-01
685	TCGA-YG-AA3O-06
686	TCGA-EA-A5ZF-01
687	TCGA-A2-A0EW-01
688	TCGA-CK-5915-01
689	TCGA-IK-7675-01
690	TCGA-AN-A0FN-01
691	TCGA-F7-A61V-01
692	TCGA-EW-A6SC-01
693	TCGA-B0-5084-01
694	TCGA-CJ-4644-01
695	TCGA-G3-A7M7-01
696	TCGA-ZF-A9RC-01
697	TCGA-V1-A9OT-01
698	TCGA-BR-8289-01
699	TCGA-AR-A0TW-01
700	TCGA-G4-6310-01
701	TCGA-50-5055-01
702	TCGA-TM-A84S-01
703	TCGA-AJ-A3EL-01
704	TCGA-A5-AB3J-01
705	TCGA-24-2288-01
706	TCGA-DU-A6S6-01
707	TCGA-DG-A2KL-01
708	TCGA-FE-A235-01
709	TCGA-CV-A465-01
710	TCGA-YL-A8S8-01
711	TCGA-FD-A43N-01
712	TCGA-B4-5835-01
713	TCGA-TK-A8OK-01
714	TCGA-E9-A1RI-01
715	TCGA-CR-7386-01
716	TCGA-BR-4267-01
717	TCGA-HU-8610-01
718	TCGA-78-7160-01
719	TCGA-EK-A2RA-01
720	TCGA-EJ-A7NG-01
721	TCGA-44-A47B-01
722	TCGA-DM-A1D4-01
723	TCGA-AC-A3HN-01
724	TCGA-EW-A1PE-01
725	TCGA-EK-A2RJ-01
726	TCGA-AN-A0FW-01
727	TCGA-95-8039-01
728	TCGA-BR-8592-01
729	TCGA-33-4583-01
730	TCGA-5M-AAT6-01
731	TCGA-24-1549-01
732	TCGA-BR-4279-01
733	TCGA-FG-8185-01
734	TCGA-BH-A42T-01
735	TCGA-BR-8381-01
736	TCGA-B0-5690-01
737	TCGA-Z6-A8JD-01
738	TCGA-D7-6521-01
739	TCGA-55-8206-01
740	TCGA-CQ-A4CA-01
741	TCGA-CV-7177-01
742	TCGA-E1-5305-01
743	TCGA-FE-A22Z-01
744	TCGA-EL-A4JW-01
745	TCGA-21-5784-01
746	TCGA-EM-A3AL-01
747	TCGA-AZ-6608-01
748	TCGA-44-7662-01
749	TCGA-A7-A13E-01
750	TCGA-CN-A498-01
751	TCGA-KK-A8IL-01
752	TCGA-F5-6814-01
753	TCGA-AD-6895-01
754	TCGA-E1-A7YK-01
755	TCGA-06-0743-01
756	TCGA-12-3652-01
757	TCGA-ET-A3DR-01
758	TCGA-DD-A1EB-01
759	TCGA-DY-A1DD-01
760	TCGA-HT-7690-01
761	TCGA-BH-A0DL-01
762	TCGA-F5-6465-01
763	TCGA-XF-A9SI-01
764	TCGA-A8-A06N-01
765	TCGA-ER-A19Q-06
766	TCGA-90-A4EE-01
767	TCGA-UF-A7JS-01
768	TCGA-CV-5976-01
769	TCGA-TQ-A7RI-01
770	TCGA-F1-6875-01
771	TCGA-EI-6882-01
772	TCGA-BC-A216-01
773	TCGA-AJ-A3EM-01
774	TCGA-13-1411-01
775	TCGA-LB-A9Q5-01
776	TCGA-91-8496-01
777	TCGA-QS-A5YR-01
778	TCGA-VN-A88P-01
779	TCGA-V1-A8MJ-01
780	TCGA-EA-A3HR-01
781	TCGA-HZ-A8P0-01
782	TCGA-A3-3385-01
783	TCGA-DE-A0Y3-01
784	TCGA-IM-A41Z-01
785	TCGA-BB-4217-01
786	TCGA-CG-5716-01
787	TCGA-IB-A7M4-01
788	TCGA-LP-A4AX-01
789	TCGA-J9-A52B-01
790	TCGA-BR-A4J7-01
791	TCGA-61-1741-01
792	TCGA-CV-7427-01
793	TCGA-DK-A3WX-01
794	TCGA-A6-A567-01
795	TCGA-DU-8164-01
796	TCGA-EA-A6QX-01
797	TCGA-28-5216-01
798	TCGA-DD-AADR-01
799	TCGA-CH-5761-01
800	TCGA-AN-A0FX-01
801	TCGA-WY-A85D-01
802	TCGA-F6-A8O4-01
803	TCGA-P4-A5ED-01
804	TCGA-E8-A434-01
805	TCGA-AA-3496-01
806	TCGA-BR-8291-01
807	TCGA-DS-A0VN-01
808	TCGA-69-7763-01
809	TCGA-KK-A6E8-01
810	TCGA-38-4628-01
811	TCGA-FD-A3NA-01
812	TCGA-CG-4436-01
813	TCGA-DW-7834-01
814	TCGA-24-1435-01
815	TCGA-FY-A3I4-01
816	TCGA-93-7347-01
817	TCGA-BB-4223-01
818	TCGA-XF-AAN3-01
819	TCGA-HC-A6AN-01
820	TCGA-FS-A4F2-06
821	TCGA-EM-A1CW-01
822	TCGA-3A-A9IJ-01
823	TCGA-S9-A6U6-01
824	TCGA-97-8175-01
825	TCGA-VR-A8Q7-01
826	TCGA-EE-A3AC-06
827	TCGA-A2-A0T4-01
828	TCGA-A7-A3RF-01
829	TCGA-34-A5IX-01
830	TCGA-E9-A228-01
831	TCGA-13-1510-01
832	TCGA-2J-AABI-01
833	TCGA-QG-A5Z2-01
834	TCGA-Q1-A73R-01
835	TCGA-DD-AACF-01
836	TCGA-DU-7010-01
837	TCGA-2Y-A9H9-01
838	TCGA-98-8023-01
839	TCGA-55-A490-01
840	TCGA-5M-AATE-01
841	TCGA-VQ-A8PP-01
842	TCGA-D5-6531-01
843	TCGA-EX-A8YF-01
844	TCGA-EE-A2GL-06
845	TCGA-VS-A8EH-01
846	TCGA-86-7711-01
847	TCGA-AR-A252-01
848	TCGA-BH-A0DD-01
849	TCGA-55-A4DG-01
850	TCGA-A6-5660-01
851	TCGA-HW-7495-01
852	TCGA-V1-A9OL-01
853	TCGA-E9-A1NA-01
854	TCGA-06-0646-01
855	TCGA-DD-A39W-01
856	TCGA-F7-A620-01
857	TCGA-ZG-A9LU-01
858	TCGA-A2-A04P-01
859	TCGA-50-6594-01
860	TCGA-05-4403-01
861	TCGA-2H-A9GH-01
862	TCGA-E1-A7YL-01
863	TCGA-BR-8297-01
864	TCGA-62-8402-01
865	TCGA-B8-A54F-01
866	TCGA-D7-8570-01
867	TCGA-29-1711-01
868	TCGA-A3-A6NI-01
869	TCGA-EW-A1P0-01
